Organism,Lineage
Canine coronavirus (strain BGF10),"Alphacoronavirus 1, Tegacovirus, Alphacoronavirus, Orthocoronavirinae, Coronaviridae, Cornidovirineae, Nidovirales, Pisoniviricetes, Pisuviricota, Orthornavirae, Riboviria, Viruses"
Coxiella burnetii,"Coxiella, Coxiellaceae, Legionellales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Deinococcus deserti (strain DSM 17065 / CIP 109153 / LMG 22923 / VCD115),"Deinococcus, Deinococcaceae, Deinococcales, Deinococci, Deinococcus-Thermus, Terrabacteria group, Bacteria, cellular organisms"
Entamoeba histolytica,"Entamoeba, Entamoebidae, Mastigamoebida, Archamoebae, Evosea, Amoebozoa, Eukaryota, cellular organisms"
Magnetospirillum molischianum,"Magnetospirillum, Rhodospirillaceae, Rhodospirillales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Chlorobaculum thiosulfatiphilum,"Chlorobaculum, Chlorobiaceae, Chlorobiales, Chlorobia, Chlorobi, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms"
Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15),"Geobacter, Geobacteraceae, Desulfuromonadales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Influenza C virus (strain C/Taylor/1233/1947),"Gammainfluenzavirus, Orthomyxoviridae, Articulavirales, Insthoviricetes, Polyploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Neospora caninum,"Neospora, Sarcocystidae, Eimeriorina, Eucoccidiorida, Coccidia, Conoidasida, Apicomplexa, Alveolata, Sar, Eukaryota, cellular organisms"
Roseiflexus castenholzii (strain DSM 13941 / HLO8),"Roseiflexus, Roseiflexaceae, Roseiflexineae, Chloroflexales, Chloroflexia, Chloroflexi, Terrabacteria group, Bacteria, cellular organisms"
Legionella pneumophila,"Legionella, Legionellaceae, Legionellales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Sophora flavescens,"Sophora, Sophoreae, core genistoids, genistoids sensu lato, 50 kb inversion clade, Papilionoideae, Fabaceae, Fabales, fabids, rosids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Didelphis virginiana,"Didelphis, Didelphinae, Didelphidae, Didelphimorphia, Metatheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Nitrosomonas eutropha (strain DSM 101675 / C91 / Nm57),"Nitrosomonas, Nitrosomonadaceae, Nitrosomonadales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Dictyostelium citrinum,"Dictyostelium, Dictyosteliaceae, Dictyosteliales, Dictyostelia, Eumycetozoa, Evosea, Amoebozoa, Eukaryota, cellular organisms"
Lactobacillus amylovorus,"Lactobacillus, Lactobacillaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Aromatoleum aromaticum (strain EbN1),"Aromatoleum aromaticum, Aromatoleum, Rhodocyclaceae, Rhodocyclales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1),"Formosa, Flavobacteriaceae, Flavobacteriales, Flavobacteriia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms"
Orientia tsutsugamushi (strain Ikeda),"Orientia, Rickettsieae, Rickettsiaceae, Rickettsiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Cryptosporidium hominis,"Cryptosporidium, Cryptosporidiidae, Eimeriorina, Eucoccidiorida, Coccidia, Conoidasida, Apicomplexa, Alveolata, Sar, Eukaryota, cellular organisms"
Haemophilus influenzae (strain PittEE),"Haemophilus influenzae, Haemophilus, Pasteurellaceae, Pasteurellales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Salmo salar,"Salmo, Salmoninae, Salmonidae, Salmoniformes, Protacanthopterygii, Euteleosteomorpha, Clupeocephala, Osteoglossocephalai, Teleostei, Neopterygii, Actinopteri, Actinopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Macrococcus caseolyticus (strain JCSC5402),"Macrococcus, Staphylococcaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Candida parapsilosis,"Candida, Candida/Lodderomyces clade, Debaryomycetaceae, Saccharomycetales, Saccharomycetes, Saccharomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Pelobacter propionicus (strain DSM 2379 / NBRC 103807 / OttBd1),"Pelobacter, Desulfuromonadaceae, Desulfuromonadales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Human cytomegalovirus (strain Towne),"Cytomegalovirus, Betaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Bacillus mycoides (strain KBAB4),"Bacillus cereus group, Bacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Paramecium primaurelia,"Paramecium, Parameciidae, Peniculida, Oligohymenophorea, Intramacronucleata, Ciliophora, Alveolata, Sar, Eukaryota, cellular organisms"
Human herpesvirus 6A (strain GS),"Human betaherpesvirus 6A, Roseolovirus, Betaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Caulobacter vibrioides (strain NA1000 / CB15N),"Caulobacter, Caulobacteraceae, Caulobacterales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Tobacco yellow dwarf virus (strain Australia),"Mastrevirus, Geminiviridae, Geplafuvirales, Repensiviricetes, Cressdnaviricota, Shotokuvirae, Monodnaviria, Viruses"
Tibrogargan virus (strain CS132),"Tibrogargan tibrovirus, Tibrovirus, Alpharhabdovirinae, Rhabdoviridae, Mononegavirales, Monjiviricetes, Haploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Leuconostoc kimchii (strain IMSNU 11154 / KCTC 2386 / IH25),"Leuconostoc, Lactobacillaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Geobacillus kaustophilus (strain HTA426),"Geobacillus thermoleovorans group, Geobacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Enterobacteria phage phiX174,"unclassified Sinsheimervirus, Sinsheimervirus, Bullavirinae, Microviridae, Petitvirales, Malgrandaviricetes, Phixviricota, Sangervirae, Monodnaviria, Viruses"
Prochlorococcus marinus (strain MIT 9211),"Prochlorococcus, Prochlorococcaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Arabidopsis lyrata subsp. lyrata,"Arabidopsis lyrata, Arabidopsis, Camelineae, Brassicaceae, Brassicales, malvids, rosids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Rotavirus B (isolate RVB/Rat/United States/IDIR/1984/G1P[X]),"Rotavirus B, Rotavirus, Sedoreovirinae, Reoviridae, Reovirales, Resentoviricetes, Duplornaviricota, Orthornavirae, Riboviria, Viruses"
Microplitis demolitor bracovirus (isolate Webb),"Bracovirus, Polydnaviridae, Viruses"
Microcystis aeruginosa (strain NIES-843),"Microcystis, Microcystaceae, Chroococcales, Oscillatoriophycideae, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Escherichia phage Mu,"Muvirus, Myoviridae, Caudovirales, Caudoviricetes, Uroviricota, Heunggongvirae, Duplodnaviria, Viruses"
B-lymphotropic polyomavirus,"African green monkey polyomavirus, unclassified Polyomaviridae, Polyomaviridae, Sepolyvirales, Papovaviricetes, Cossaviricota, Shotokuvirae, Monodnaviria, Viruses"
Trichomonas vaginalis,"Trichomonas, Trichomonadidae, Trichomonadida, Parabasalia, Metamonada, Eukaryota, cellular organisms"
Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787),"Clostridium, Clostridiaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Sulfurimonas denitrificans (strain ATCC 33889 / DSM 1251),"Sulfurimonas, Thiovulaceae, Campylobacterales, Epsilonproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Yaba monkey tumor virus (strain VR587),"Yatapoxvirus, Chordopoxvirinae, Poxviridae, Chitovirales, Pokkesviricetes, Nucleocytoviricota, Bamfordvirae, Varidnaviria, Viruses"
Natronomonas pharaonis,"Natronomonas, Haloarculaceae, Halobacteriales, Halobacteria, Stenosarchaea group, Euryarchaeota, Archaea, cellular organisms"
Flavobacterium psychrophilum,"Flavobacterium, Flavobacteriaceae, Flavobacteriales, Flavobacteriia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms"
Acinetobacter venetianus (strain ATCC 31012 / DSM 23050 / BCRC 14357 / CCUG 45561 / CIP 110063 / KCTC 2702 / LMG 19082 / RAG-1),"Acinetobacter, Moraxellaceae, Moraxellales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Oenothera berteroana,"Oenothera, Onagreae, Onagroideae, Onagraceae, Myrtales, malvids, rosids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / DSM 15643 / BCRC 10681 / CIP 101130 / JCM 8532 / KCTC 2640 / LMG 13131 / VPI 4355),"Fusobacterium nucleatum, Fusobacterium, Fusobacteriaceae, Fusobacteriales, Fusobacteriia, Fusobacteria, Bacteria, cellular organisms"
Saccharomyces cerevisiae killer virus M1,"unclassified dsRNA viruses, dsRNA viruses, Riboviria, Viruses"
Canarypox virus,"Avipoxvirus, Chordopoxvirinae, Poxviridae, Chitovirales, Pokkesviricetes, Nucleocytoviricota, Bamfordvirae, Varidnaviria, Viruses"
Gramella forsetii (strain KT0803),"Gramella, Flavobacteriaceae, Flavobacteriales, Flavobacteriia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms"
Simian immunodeficiency virus (isolate CPZ GAB1),"Simian immunodeficiency virus, Lentivirus, Orthoretrovirinae, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae, Riboviria, Viruses"
Stigmatella aurantiaca,"Stigmatella, Archangiaceae, Cystobacterineae, Myxococcales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Geobacter sulfurreducens (strain ATCC 51573 / DSM 12127 / PCA),"Geobacter, Geobacteraceae, Desulfuromonadales, Deltaproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Simian retrovirus SRV-1,"Mason-Pfizer monkey virus, Betaretrovirus, Orthoretrovirinae, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae, Riboviria, Viruses"
Gluconacetobacter liquefaciens,"Gluconacetobacter, Acetobacteraceae, Rhodospirillales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Huperzia lucidula,"Huperzia, Huperzioideae, Lycopodiaceae, Lycopodiales, Lycopodiopsida, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81),"Acinetobacter calcoaceticus/baumannii complex, Acinetobacter, Moraxellaceae, Moraxellales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Latimeria chalumnae,"Latimeria, Coelacanthidae, Coelacanthiformes, Coelacanthimorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Bacillus acidopullulyticus,"Bacillus, Bacillaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Clostridium kluyveri (strain NBRC 12016),"Clostridium, Clostridiaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Lactococcus lactis subsp. lactis (strain KF147),"Lactococcus lactis, Lactococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Cynops pyrrhogaster,"Cynops, Pleurodelinae, Salamandridae, Salamandroidea, Caudata, Batrachia, Amphibia, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Sendai virus (strain Ohita),"Murine respirovirus, Respirovirus, Orthoparamyxovirinae, Paramyxoviridae, Mononegavirales, Monjiviricetes, Haploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Mortierella alpina,"Mortierella, Mortierellaceae, Mortierellales, Mortierellomycetes, Mortierellomycotina, Mucoromycota, Fungi incertae sedis, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Walleye dermal sarcoma virus,"Epsilonretrovirus, Orthoretrovirinae, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae, Riboviria, Viruses"
Spodoptera frugiperda ascovirus 1a,"Ascovirus, Ascoviridae, Pimascovirales, Megaviricetes, Nucleocytoviricota, Bamfordvirae, Varidnaviria, Viruses"
Thiomonas arsenitoxydans (strain DSM 22701 / CIP 110005 / 3As),"Thiomonas, Burkholderiales genera incertae sedis, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Stigeoclonium helveticum,"Stigeoclonium, Chaetophoraceae, Chaetophorales, OCC clade, Chlorophyceae, core chlorophytes, Chlorophyta, Viridiplantae, Eukaryota, cellular organisms"
Rothia mucilaginosa (strain DY-18),"Rothia, Micrococcaceae, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Schistocerca americana,"Schistocerca, Cyrtacanthacridinae, Acrididae, Acridoidea, Acridomorpha, Acrididea, Caelifera, Orthoptera, Polyneoptera, Neoptera, Pterygota, Dicondylia, Insecta, Hexapoda, Pancrustacea, Mandibulata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Carnation mottle virus (isolate China/Shanghai),"Alphacarmovirus, Procedovirinae, Tombusviridae, Tolivirales, Tolucaviricetes, Kitrinoviricota, Orthornavirae, Riboviria, Viruses"
Streptococcus pyogenes serotype M6 (strain ATCC BAA-946 / MGAS10394),"Streptococcus pyogenes serotype M6, Streptococcus pyogenes, Streptococcus, Streptococcaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Chikungunya virus (strain S27-African prototype),"Alphavirus, Togaviridae, Martellivirales, Alsuviricetes, Kitrinoviricota, Orthornavirae, Riboviria, Viruses"
Escherichia coli O9:H4 (strain HS),"Escherichia coli, Escherichia, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Drosophila persimilis,"pseudoobscura subgroup, obscura group, Sophophora, Drosophila, Drosophilini, Drosophilinae, Drosophilidae, Ephydroidea, Acalyptratae, Schizophora, Cyclorrhapha, Eremoneura, Muscomorpha, Brachycera, Diptera, Endopterygota, Neoptera, Pterygota, Dicondylia, Insecta, Hexapoda, Pancrustacea, Mandibulata, Arthropoda, Panarthropoda, Ecdysozoa, Protostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Phanerodontia chrysosporium,"Phanerodontia, Phanerochaetaceae, Polyporales, Agaricomycetes incertae sedis, Agaricomycetes, Agaricomycotina, Basidiomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Quaranfil virus (isolate QrfV/Tick/Afghanistan/EG_T_377/1968),"Quaranfil quaranjavirus, Quaranjavirus, Orthomyxoviridae, Articulavirales, Insthoviricetes, Polyploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432),"Histoplasma, Ajellomycetaceae, Onygenales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Cricetulus griseus,"Cricetulus, Cricetinae, Cricetidae, Muroidea, Myomorpha, Rodentia, Glires, Euarchontoglires, Boreoeutheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Apple stem pitting virus (isolate PA66),"Foveavirus, Quinvirinae, Betaflexiviridae, Tymovirales, Alsuviricetes, Kitrinoviricota, Orthornavirae, Riboviria, Viruses"
Granulibacter bethesdensis (strain ATCC BAA-1260 / CGDNIH1),"Granulibacter, Acetobacteraceae, Rhodospirillales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Papio hamadryas,"Papio, Cercopithecinae, Cercopithecidae, Cercopithecoidea, Catarrhini, Simiiformes, Haplorrhini, Primates, Euarchontoglires, Boreoeutheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Catharanthus roseus,"Catharanthus, Catharanthinae, Vinceae, Rauvolfioideae, Apocynaceae, Gentianales, lamiids, asterids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Methylorubrum extorquens (strain PA1),"Methylorubrum, Methylobacteriaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Chaetosphaeridium globosum,"Chaetosphaeridium, Chaetosphaeridiaceae, Coleochaetales, Coleochaetophyceae, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Mesostigma viride,"Mesostigma, Mesostigmataceae, Mesostigmatales, Mesostigmatophyceae, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Methanococcus aeolicus (strain ATCC BAA-1280 / DSM 17508 / OCM 812 / Nankai-3),"Methanococcus, Methanococcaceae, Methanococcales, Methanococci, Methanomada group, Euryarchaeota, Archaea, cellular organisms"
Helicobacter pylori (strain 52),"Helicobacter, Helicobacteraceae, Campylobacterales, Epsilonproteobacteria, delta/epsilon subdivisions, Proteobacteria, Bacteria, cellular organisms"
Oxybasis rubra,"Oxybasis, Atripliceae, Chenopodioideae, Chenopodiaceae, Caryophyllales, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Aspergillus niger (strain CBS 513.88 / FGSC A1513),"Aspergillus subgen. Circumdati, Aspergillus, Aspergillaceae, Eurotiales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Methylorubrum extorquens (strain ATCC 14718 / DSM 1338 / JCM 2805 / NCIMB 9133 / AM1),"Methylorubrum, Methylobacteriaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Clostridium beijerinckii,"Clostridium, Clostridiaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Enterobacteria phage P21,"Escherichia phage lambda, Lambdavirus, Siphoviridae, Caudovirales, Caudoviricetes, Uroviricota, Heunggongvirae, Duplodnaviria, Viruses"
Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324),"Meyerozyma, Debaryomycetaceae, Saccharomycetales, Saccharomycetes, Saccharomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Nematostella vectensis,"Nematostella, Edwardsiidae, Actiniaria, Hexacorallia, Anthozoa, Cnidaria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Influenza A virus (strain A/Duck/Germany/1949 H10N7),"Alphainfluenzavirus, Orthomyxoviridae, Articulavirales, Insthoviricetes, Polyploviricotina, Negarnaviricota, Orthornavirae, Riboviria, Viruses"
Marinobacter nauticus (strain ATCC 700491 / DSM 11845 / VT8),"Marinobacter, Marinobacteraceae, Pseudomonadales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Paracoccidioides brasiliensis (strain Pb18),"Paracoccidioides, Onygenales incertae sedis, Onygenales, Eurotiomycetidae, Eurotiomycetes, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Equine herpesvirus 1 (strain Kentucky D),"Equid alphaherpesvirus 1, Varicellovirus, Alphaherpesvirinae, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae, Duplodnaviria, Viruses"
Plasmodium falciparum,"Plasmodium (Laverania), Plasmodium, Plasmodiidae, Haemosporida, Aconoidasida, Apicomplexa, Alveolata, Sar, Eukaryota, cellular organisms"
Human adenovirus B serotype 7,"Human adenovirus B1, Human mastadenovirus B, Mastadenovirus, Adenoviridae, Rowavirales, Tectiliviricetes, Preplasmiviricota, Bamfordvirae, Varidnaviria, Viruses"
Clostridium tetani (strain Massachusetts / E88),"Clostridium, Clostridiaceae, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Solanum pimpinellifolium,"Solanum subgen. Lycopersicon, Solanum, Solaneae, Solanoideae, Solanaceae, Solanales, lamiids, asterids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Synechococcus sp. (strain ATCC 29403 / PCC 7335),"unclassified Synechococcus, Synechococcus, Synechococcaceae, Synechococcales, Cyanobacteria, Cyanobacteria/Melainabacteria group, Terrabacteria group, Bacteria, cellular organisms"
Brassica rapa subsp. pekinensis,"Brassica campestris, Brassica, Brassiceae, Brassicaceae, Brassicales, malvids, rosids, Pentapetalae, Gunneridae, eudicotyledons, Mesangiospermae, Magnoliopsida, Spermatophyta, Euphyllophyta, Tracheophyta, Embryophyta, Streptophytina, Streptophyta, Viridiplantae, Eukaryota, cellular organisms"
Turnip yellows virus (isolate FL-1),"Beet western yellows virus, Polerovirus, Solemoviridae, Sobelivirales, Pisoniviricetes, Pisuviricota, Orthornavirae, Riboviria, Viruses"
Bacillus phage PZA,"Bacillus virus PZA, Salasvirus, Picovirinae, Salasmaviridae, Caudovirales, Caudoviricetes, Uroviricota, Heunggongvirae, Duplodnaviria, Viruses"
Rhizobium leguminosarum bv. phaseoli,"Rhizobium leguminosarum, Rhizobium, Rhizobium/Agrobacterium group, Rhizobiaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Halomonas zhaodongensis,"Halomonas, Halomonadaceae, Oceanospirillales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Pediococcus pentosaceus (strain ATCC 25745 / CCUG 21536 / LMG 10740 / 183-1w),"Pediococcus, Lactobacillaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Hypoxylon pulicicidum,"Hypoxylon, Hypoxylaceae, Xylariales, Xylariomycetidae, Sordariomycetes, sordariomyceta, leotiomyceta, Pezizomycotina, saccharomyceta, Ascomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
Yersinia enterocolitica,"Yersinia, Yersiniaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Equus caballus,"Equus, Equus, Equidae, Perissodactyla, Laurasiatheria, Boreoeutheria, Eutheria, Theria, Mammalia, Amniota, Tetrapoda, Dipnotetrapodomorpha, Sarcopterygii, Euteleostomi, Teleostomi, Gnathostomata, Vertebrata, Craniata, Chordata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Haloarcula hispanica (strain ATCC 33960 / DSM 4426 / JCM 8911 / NBRC 102182 / NCIMB 2187 / VKM B-1755),"Haloarcula, Haloarculaceae, Halobacteriales, Halobacteria, Stenosarchaea group, Euryarchaeota, Archaea, cellular organisms"
Sheep pulmonary adenomatosis virus,"Betaretrovirus, Orthoretrovirinae, Retroviridae, Ortervirales, Revtraviricetes, Artverviricota, Pararnavirae, Riboviria, Viruses"
Staphylococcus aureus (strain bovine RF122 / ET3-1),"Staphylococcus, Staphylococcaceae, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms"
Borrelia turicatae (strain 91E135),"Borrelia, Borreliaceae, Spirochaetales, Spirochaetia, Spirochaetes, Bacteria, cellular organisms"
Rickettsia africae (strain ESF-5),"spotted fever group, Rickettsia, Rickettsieae, Rickettsiaceae, Rickettsiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Janthinobacterium sp. (strain Marseille),"unclassified Janthinobacterium, Janthinobacterium, Oxalobacteraceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Asterias rubens,"Asterias, Asteriidae, Forcipulatida, Forcipulatacea, Asteroidea, Asterozoa, Eleutherozoa, Echinodermata, Deuterostomia, Bilateria, Eumetazoa, Metazoa, Opisthokonta, Eukaryota, cellular organisms"
Paenarthrobacter nicotinovorans,"Paenarthrobacter, Micrococcaceae, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms"
Neisseria meningitidis serogroup C / serotype 2a (strain ATCC 700532 / DSM 15464 / FAM18),"Neisseria meningitidis serogroup C, Neisseria meningitidis, Neisseria, Neisseriaceae, Neisseriales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms"
Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686),"Laccaria, Tricholomataceae, Agaricales, Agaricomycetidae, Agaricomycetes, Agaricomycotina, Basidiomycota, Dikarya, Fungi, Opisthokonta, Eukaryota, cellular organisms"
